"cut","clarity","table","x","z"
"Very Good","VS2",57,5.66,3.63
"Very Good","VS1",58,5.75,3.56
"Ideal","SI1",54,5.77,3.56
"Ideal","SI2",58,5.77,3.58
"Fair","VS2",68,5.82,3.53
"Ideal","SI1",55,5.72,3.53
"Very Good","VS2",57,5.87,3.7
"Ideal","VVS2",56,5.41,3.3
"Premium","SI1",54,5.84,3.53
"Ideal","SI2",55,5.81,3.6
"Very Good","SI1",54,5.98,3.79
"Very Good","VS2",58,5.75,3.45
"Premium","SI1",58,4.39,2.74
"Ideal","SI1",57,4.47,2.7
"Very Good","SI1",56,4.29,2.71
"Good","SI1",55,4.36,2.78
"Very Good","SI1",58,4.32,2.68
"Ideal","VS1",56,4.5,2.8
"Very Good","I1",62,4.94,2.9
"Ideal","VS1",57,4.09,2.52
"Fair","SI1",61,6.72,3.68
"Very Good","SI1",55,6,3.79
"Premium","SI1",59,5.86,3.57
"Ideal","SI1",56,5.75,3.49
"Fair","VS2",56,6.08,3.94
"Fair","SI2",63,6.73,3.55
"Good","VS1",55,5.61,3.58
"Premium","SI1",56,5.78,3.53
"Ideal","VVS2",56,5.48,3.38
"Premium","SI1",58,5.77,3.53
"Premium","VS2",60,5.78,3.41
"Ideal","SI1",57,6.07,3.68
"Premium","VS1",57,5.68,3.55
"Good","VS1",63,5.76,3.45
"Premium","VS2",59,5.77,3.54
"Premium","SI1",61,5.92,3.51
"Premium","VS1",60,5.74,3.48
"Premium","VS2",60,5.73,3.44
"Premium","SI1",60,5.71,3.57
"Good","VS2",61,6.04,3.86
"Ideal","SI1",58,5.82,3.46
"Premium","VS2",62,5.72,3.46
"Good","SI1",57,6.06,3.89
"Ideal","SI1",56,5.77,3.47
"Ideal","SI2",54,6.02,3.74
"Very Good","VS1",57,5.75,3.58
"Premium","VS1",60,5.75,3.58
"Very Good","VS2",56,5.6,3.54
"Ideal","I1",55,6.41,3.88
"Ideal","VVS1",57,5.69,3.52
"Premium","VS1",58,5.75,3.56
"Premium","SI2",57,5.88,3.62
"Ideal","I1",56,6.41,3.9
"Premium","SI1",62,6.21,3.74
"Premium","SI1",58,5.73,3.57
"Premium","VVS2",57,5.75,3.54
"Good","SI1",63,6.05,3.88
"Ideal","VS2",57,5.74,3.51
"Ideal","VS2",56,5.94,3.67
"Ideal","VS2",55,5.92,3.67
"Ideal","VS1",56,5.89,3.58
"Ideal","SI1",57,5.78,3.53
"Premium","VS1",59,5.69,3.55
"Fair","SI1",58,5.83,3.77
"Premium","VS1",55,5.73,3.56
"Premium","VS2",58,5.85,3.45
"Ideal","VS1",54,5.75,3.53
"Premium","VS1",58,5.75,3.47
"Ideal","VS1",57,5.71,3.51
"Premium","VS1",59,5.7,3.55
"Premium","VS2",56,5.88,3.47
"Premium","VS2",59,5.9,3.55
"Ideal","SI2",56,5.96,3.73
"Fair","SI1",56,6.16,4.06
"Ideal","VS1",54,5.92,3.72
"Very Good","VS2",58,5.76,3.44
"Very Good","VS1",59,5.73,3.56
"Very Good","SI1",61,5.92,3.43
"Ideal","VS2",57,5.91,3.7
"Premium","SI2",61,7.12,4.2
"Fair","SI2",59,6.3,4.11
"Good","VS2",61,5.76,3.43
"Very Good","SI1",57,6.1,3.74
"Ideal","VVS2",55,5.25,3.24
"Very Good","VS2",60,5.74,3.51
"Very Good","SI1",57,5.89,3.71
"Ideal","SI1",57,5.85,3.56
"Ideal","SI1",55,5.7,3.6
"Ideal","SI2",57,5.9,3.69
"Very Good","VS1",57.1,5.87,3.66
"Fair","VS2",62,6.06,3.89
"Premium","VS1",59,5.91,3.43
"Premium","VS2",57,5.8,3.6
"Ideal","SI2",55,6.49,3.98
"Fair","SI1",62,6.19,4.15
"Good","VS2",61,4.6,2.66
"Very Good","VS2",62,4.54,2.71
"Ideal","VVS1",56,4.36,2.68
"Ideal","VVS1",53,4.36,2.72
"Premium","SI2",59,4.52,2.68
"Premium","SI2",58,4.42,2.78
"Ideal","SI1",57,4.39,2.76
"Premium","SI1",59,5.92,3.58
"Ideal","SI1",57,5.76,3.57
"Very Good","SI1",57,6.02,3.7
"Premium","VS2",60,5.76,3.52
"Ideal","SI1",56,5.84,3.58
"Fair","VS2",65,5.89,3.34
"Ideal","VS1",56,5.74,3.54
"Very Good","VS2",61,5.68,3.5
"Ideal","VVS1",57,5.23,3.2
"Premium","SI1",58,6.09,3.81
"Very Good","SI1",55,5.67,3.56
"Very Good","VVS1",60,5.65,3.56
"Premium","VS2",59,5.82,3.45
"Good","VS2",58,6.05,3.9
"Premium","SI1",61,5.82,3.53
"Premium","SI1",58,5.79,3.54
"Premium","VVS2",62,5.74,3.51
"Ideal","VS2",55,5.79,3.52
"Very Good","VVS1",56,5.25,3.27
"Premium","SI1",58,6.39,3.89
"Premium","VS2",53,6.05,3.68
"Ideal","SI2",53,6.12,3.74
"Fair","SI2",61,6.07,4.1
"Very Good","SI1",56,5.78,3.62
"Ideal","VVS2",57,5.84,3.57
"Premium","VVS2",58,5.56,3.44
"Ideal","VS2",57,6.12,3.63
"Good","SI1",57,5.7,3.63
"Good","SI1",56.7,5.59,3.51
"Ideal","SI1",56,5.63,3.51
"Very Good","SI1",60,5.75,3.48
"Very Good","VS2",58,5.8,3.62
"Fair","SI1",62,6.14,4
"Fair","SI1",61,5.98,3.89
"Premium","VS2",59,5.69,3.5
"Ideal","VS1",55,5.77,3.51
"Fair","SI2",60,6.11,4.09
"Fair","SI2",55,6.17,4.26
"Ideal","VS1",56,5.75,3.57
"Very Good","SI1",59,5.86,3.69
"Ideal","SI1",56,5.88,3.7
"Premium","VS1",58,5.71,3.57
"Fair","VS1",69,5.93,3.33
"Ideal","VVS1",55,5.74,3.55
"Ideal","VVS1",56,5.23,3.24
"Ideal","SI1",56,5.75,3.57
"Very Good","SI1",57,5.95,3.81
"Fair","SI2",57,6.02,3.99
"Premium","VS1",59,5.66,3.55
"Very Good","VS1",58,5.64,3.54
"Ideal","VVS2",54,5.09,3.17
"Ideal","SI1",54,6.07,3.71
"Ideal","VVS1",56,5.61,3.44
"Ideal","VS2",56,5.71,3.59
"Fair","I1",59,6.62,4.29
"Ideal","VS2",57,5.78,3.63
"Very Good","SI1",55,6,3.78
"Ideal","SI1",56,5.88,3.62
"Very Good","VS1",58,5.85,3.51
"Ideal","SI1",56,5.91,3.65
"Very Good","I1",57,6.39,4.02
"Ideal","VVS2",52,5.3,3.26
"Premium","SI2",59,6.68,4.03
"Ideal","SI1",57,5.98,3.64
"Ideal","SI1",57,5.9,3.66
"Premium","VS1",58,5.68,3.55
"Ideal","VS2",57,5.81,3.59
"Fair","VS2",59,5.62,3.62
"Ideal","SI1",55,5.78,3.57
"Very Good","SI2",57,5.85,3.69
"Very Good","VVS2",59,5.62,3.57
"Ideal","VVS1",54,5.16,3.24
"Very Good","VS2",57,5.74,3.6
"Ideal","VVS2",53.6,5.42,3.39
"Ideal","VS1",56,5.7,3.54
"Ideal","SI2",57,4.66,2.88
"Premium","VS1",59,4.13,2.5
"Very Good","VS2",55,4.4,2.75
"Ideal","SI2",56,4.4,2.7
"Ideal","VS2",57,4.4,2.63
"Very Good","VS2",54,4.34,2.73
"Good","SI1",57,4.31,2.73
"Premium","SI2",60,4.38,2.66
"Premium","VS2",57,5.71,3.47
"Very Good","VS1",57,5.6,3.54
"Good","VS2",61,5.89,3.57
"Premium","SI1",60,5.97,3.65
"Very Good","VS2",60,5.72,3.48
"Very Good","SI1",56,5.68,3.54
"Premium","SI1",59,6.05,3.74
"Very Good","VS2",55,6.03,3.74
"Very Good","VS1",57,5.8,3.54
"Ideal","VS2",56,5.77,3.52
"Ideal","VS2",55,5.75,3.56
"Premium","VVS2",56,5.79,3.59
"Premium","VS1",57,5.87,3.48
"Very Good","VVS2",60,5.79,3.51
"Ideal","VVS2",56,5.58,3.43
"Very Good","VS1",57,5.79,3.45
"Very Good","VS2",58,5.67,3.6
"Ideal","SI1",57,6.13,3.81
"Good","SI1",60,5.94,3.48
"Very Good","VS1",58,5.55,3.59
"Premium","I1",58,6.9,4.14
"Very Good","VS1",57,5.79,3.68
"Very Good","VS2",59,5.67,3.46
"Ideal","SI1",57,5.78,3.49
"Ideal","VS2",57,5.69,3.56
"Fair","SI2",58,6.08,3.94
"Ideal","VS2",59,5.71,3.54
"Very Good","VVS2",57,5.67,3.54
"Good","SI2",56,5.98,3.47
"Fair","I1",62,6.68,4.33
"Ideal","VS2",59,5.81,3.53
"Premium","VS1",57,6.01,3.55
"Ideal","SI2",57,6.1,3.66
"Premium","SI1",60,6.01,3.56
"Ideal","VS2",55,5.93,3.59
"Good","VVS2",57,5.59,3.55
"Fair","VS2",67,6.18,3.43
"Very Good","SI2",59,6.04,3.58
"Fair","SI2",59,6.3,4.12
"Ideal","SI1",56,5.82,3.56
"Very Good","VVS1",57,5.39,3.27
"Very Good","VS1",59,5.64,3.58
"Ideal","SI1",56,5.9,3.64
"Ideal","SI2",57,6.37,3.72
"Ideal","VS1",56,5.79,3.6
"Premium","SI1",56,6.26,3.8
"Fair","SI2",60,5.92,3.91
"Very Good","VS2",56,5.66,3.59
"Fair","SI1",67,6.57,3.79
"Ideal","VVS1",55,5.27,3.25
"Ideal","SI1",56,5.84,3.55
"Very Good","VS1",60,5.68,3.49
"Ideal","VS2",57,5.63,3.54
"Very Good","VS2",59,6.02,3.57
"Ideal","SI1",55,5.75,3.57
"Very Good","SI1",58,5.97,3.76
"Very Good","VS1",56,5.81,3.57
"Ideal","VS2",57,5.75,3.5
"Ideal","VS2",56,5.75,3.57
"Fair","SI2",66,6.46,3.92
"Ideal","SI1",55,6,3.72
"Good","VS2",57,5.6,3.57
"Ideal","IF",58,5.52,3.42
"Ideal","VVS2",57,5.79,3.56
"Ideal","VVS2",56,5.48,3.42
"Premium","VS1",61,5.85,3.61
"Ideal","VS1",56,5.69,3.55
"Very Good","VS2",57,5.68,3.58
"Fair","VS1",57,5.59,3.59
"Fair","VS1",60,6.02,3.91
"Premium","I1",58,6.53,3.99
"Ideal","VS1",57,5.73,3.52
"Very Good","VS2",59,5.68,3.54
"Ideal","SI2",57,6.06,3.68
"Ideal","VS2",56,5.91,3.67
"Very Good","VVS2",56,4.28,2.66
"Ideal","VVS1",56,3.97,2.48
"Ideal","VVS1",56,3.97,2.47
"Ideal","IF",58,4.01,2.44
"Ideal","VS1",55,4.39,2.74
"Very Good","IF",56,4.04,2.48
"Ideal","SI1",55,4.77,2.95
"Premium","SI1",60,6.4,3.76
"Ideal","SI2",57,6.16,3.84
"Good","VS1",58,5.58,3.57
"Fair","SI1",57,6.13,3.96
"Very Good","SI2",60,6.14,3.86
"Ideal","SI2",56,5.9,3.59
"Ideal","SI1",57,5.96,3.75
"Ideal","VS2",57,5.81,3.46
"Ideal","SI1",54,5.9,3.74
"Ideal","SI1",57,5.88,3.69
"Ideal","SI1",57,5.98,3.71
"Ideal","VS1",54,5.77,3.54
"Ideal","VS2",56,5.74,3.53
"Good","IF",61,5.69,3.34
"Good","SI2",63,6.2,3.65
"Very Good","VS1",63,5.76,3.48
"Premium","I1",62,6.42,3.99
"Very Good","VS1",58,5.78,3.65
"Ideal","VS1",59,5.68,3.49
"Very Good","I1",58,6.44,4.04
"Very Good","VS2",54,5.88,3.67
"Ideal","VS2",60,5.71,3.46
"Very Good","VVS2",60,5.64,3.48
"Ideal","VS1",55,5.65,3.54
"Very Good","VS2",56,5.84,3.49
"Premium","VS2",58,5.95,3.68
"Fair","SI2",51,6.05,3.93
"Ideal","SI1",56,5.78,3.54
"Fair","VVS2",56,6.29,4.13
"Fair","I1",60,6.4,3.92
"Premium","VS1",58,5.83,3.63
"Good","VS2",61,6.16,3.89
"Very Good","SI1",58,5.74,3.54
"Ideal","VVS1",56,5.42,3.37
"Premium","VS2",60,5.68,3.54
"Premium","VS2",59,6.02,3.63
"Premium","VVS2",58,5.69,3.39
"Ideal","VS1",54,5.53,3.38
"Very Good","SI1",59,5.85,3.59
"Ideal","VVS1",57,5.81,3.57
"Very Good","VS1",60,5.63,3.55
"Premium","VVS2",53,5.65,3.53
"Ideal","SI1",57,5.73,3.54
"Very Good","VS1",58,5.71,3.47
"Very Good","VS1",58,5.63,3.6
"Ideal","SI1",57,6,3.73
"Very Good","VS1",55,5.87,3.57
"Fair","I1",55,6.61,4.34
"Ideal","VS2",55,5.66,3.56
"Ideal","SI1",56,5.81,3.61
"Ideal","VS2",56,5.74,3.55
"Premium","VS2",58,5.84,3.61
"Ideal","SI2",57,6.07,3.66
"Very Good","SI1",59,5.8,3.54
"Very Good","SI2",63,6.32,3.72
"Premium","VS1",58,5.71,3.54
"Premium","SI2",60,6.3,3.94
"Premium","I1",60,6.75,4.05
"Good","VVS1",58,5.58,3.54
"Ideal","VS2",57,5.79,3.54
"Premium","VVS2",56,5.72,3.53
"Very Good","SI1",56,5.78,3.56
"Good","SI2",55,6.08,3.85
"Premium","VS2",61,5.79,3.49
"Premium","SI1",60,5.84,3.59
"Very Good","VS2",55,5.69,3.53
"Fair","SI1",55,6.25,4.15
"Very Good","VVS2",60,5.82,3.44
"Premium","VS1",58,5.93,3.47
"Very Good","VS2",57,5.67,3.58
"Good","VS2",59,5.56,3.54
"Premium","SI1",57,6.19,3.87
"Very Good","VS2",57,5.66,3.62
"Ideal","SI1",57,5.82,3.5
"Ideal","VVS2",58,5.38,3.37
"Premium","VS2",58,4.41,2.67
"Premium","VS2",59,4.48,2.69
"Good","VS1",57,4.34,2.75
"Premium","VS1",58,4.34,2.72
"Very Good","VS1",57,4.37,2.76
"Very Good","SI1",60,4.42,2.67
"Very Good","VS2",58,4.37,2.74
"Ideal","VS1",56,4.44,2.69
"Ideal","SI1",56,5.76,3.59
"Premium","SI2",59,6.27,3.84
"Good","VS1",56,5.97,3.59
"Ideal","SI1",56,6.27,3.83
"Very Good","VS1",57,5.73,3.52
"Ideal","SI1",57,6.81,4.07
"Very Good","SI1",58,5.94,3.66
"Ideal","SI2",57,6.22,3.87
"Ideal","SI1",56,5.7,3.55
"Premium","SI1",57,5.89,3.55
"Ideal","SI2",53,6.08,3.75
"Ideal","SI1",55,5.82,3.6
"Very Good","IF",59,5.69,3.46
"Fair","SI1",56,6.26,4.12
"Ideal","VS2",56,5.77,3.53
"Very Good","SI1",56,5.91,3.71
"Very Good","VS1",60,5.62,3.55
"Fair","SI2",59,6.14,4.17
"Ideal","SI1",56,5.9,3.65
"Ideal","VVS1",55,5.36,3.3
"Good","SI2",56,6.11,3.89
"Very Good","SI2",56,5.87,3.7
"Very Good","VVS1",57,5.76,3.61
"Ideal","SI1",55,5.75,3.55
"Ideal","SI1",56.5,5.76,3.55
"Premium","VS1",58,6.37,3.82
"Very Good","VS1",59,5.64,3.58
"Ideal","SI2",56,5.99,3.66
"Very Good","SI2",60,6.05,3.74
"Ideal","SI2",56,5.94,3.73
"Ideal","SI1",55,5.87,3.69
"Very Good","SI1",56,5.88,3.72
"Ideal","VS1",56,6.05,3.72
"Ideal","VVS1",55,5.72,3.53
"Premium","I1",57,6.55,3.97
"Ideal","VS1",55,5.89,3.63
"Very Good","SI2",56,5.71,3.51
"Ideal","SI1",57,5.81,3.66
"Ideal","VS2",56,5.75,3.62
"Premium","VS2",59,5.7,3.57
"Fair","SI2",66,6.08,3.78
"Premium","SI2",60,6.49,3.83
"Ideal","VS2",55,5.73,3.55
"Ideal","VS1",57,5.74,3.56
"Ideal","VVS1",53.7,5.4,3.36
"Premium","VS2",59,6.17,3.76
"Premium","SI2",60,6.21,3.87
"Very Good","SI2",59,5.73,3.51
"Ideal","SI1",54,6.08,3.78
"Premium","SI2",61,6.22,3.76
"Premium","SI2",57,6.08,3.82
"Fair","SI2",56,6.28,4.04
"Ideal","VS1",55,5.85,3.62
"Good","VS2",59,5.49,3.54
"Very Good","SI2",53,6.35,4.01
"Ideal","SI1",57,5.81,3.55
"Ideal","SI1",57,5.78,3.57
"Premium","VS1",62,5.89,3.41
"Premium","SI1",60,5.89,3.7
"Ideal","VS2",55,5.67,3.54
"Ideal","VVS2",57,5.76,3.57
"Premium","SI2",59,6.32,3.91
"Good","VVS1",57,5.83,3.69
"Ideal","VVS1",55,5.19,3.21
"Ideal","VS2",57,5.76,3.55
"Ideal","SI2",55,5.94,3.7
"Ideal","VS1",56,5.77,3.55
"Ideal","VS2",56,5.7,3.56
"Fair","SI2",62,6.35,3.57
"Ideal","VS1",56,5.91,3.67
"Very Good","SI2",63,6.19,3.76
"Fair","SI2",58,6.05,3.95
"Ideal","VS1",55,5.78,3.6
"Ideal","SI1",54,5.92,3.69
"Good","VS1",63,5.73,3.47
"Premium","VS2",59,4.42,2.71
"Very Good","SI1",56,4.39,2.71
"Very Good","VS1",61,4.38,2.72
"Premium","VS2",60,4.33,2.72
"Ideal","VS2",57,4.43,2.68
"Premium","VS2",60,4.34,2.71
"Ideal","SI1",56,4.39,2.73
"Good","VS2",65,6.12,3.81
"Ideal","SI1",56,5.89,3.64
"Premium","VVS1",59,5.67,3.49
"Good","SI2",56,6.37,4.06
"Premium","SI1",59,5.89,3.64
"Very Good","VVS2",58,5.68,3.49
"Very Good","SI2",60,6.22,3.77
"Ideal","SI2",54,6.35,3.87
"Premium","SI1",59,6.18,3.63
"Ideal","VS2",56,5.77,3.54
"Very Good","SI1",58,5.98,3.76
"Ideal","SI1",55,5.7,3.54
"Fair","SI2",60,6.04,3.87
"Good","VS1",60.7,5.86,3.55
"Ideal","VS2",57,6.1,3.78
"Good","SI1",65,6.42,3.7
"Ideal","VS1",56.6,5.75,3.52
"Ideal","VVS1",56,5.79,3.55
"Good","SI1",64,6.18,3.72
"Ideal","VVS2",57,5.72,3.53
"Very Good","VS1",57,5.68,3.53
"Ideal","SI1",57,5.75,3.52
"Good","VS2",58,6.25,4.01
"Ideal","SI1",57,5.81,3.57
"Ideal","VS1",55,5.76,3.56
"Ideal","VS2",56,5.76,3.53
"Premium","SI1",58,6.07,3.66
"Ideal","VS2",57,5.93,3.56
"Fair","SI2",53,6.19,4.13
"Premium","VVS1",58,5.75,3.54
"Very Good","SI1",56.3,5.85,3.71
"Good","SI2",57,6.07,3.9
"Ideal","VVS1",58,5.28,3.23
"Ideal","SI1",53,5.82,3.62
"Premium","SI2",59,6.55,0
"Premium","SI2",56,6.49,3.97
"Very Good","VS1",56,5.88,3.71
"Very Good","SI2",57,5.95,3.8
"Ideal","VS2",57,5.73,3.52
"Fair","SI1",56,6.1,3.98
"Ideal","VS2",57,5.85,3.54
"Ideal","IF",56,5.74,3.53
"Ideal","SI1",58,5.86,3.65
"Ideal","VS1",56,5.9,3.66
"Good","SI2",60,6.05,3.79
"Very Good","SI2",59,6.23,3.91
"Ideal","VS2",56,5.78,3.55
"Good","SI2",60,6.07,3.89
"Very Good","VVS2",61,5.79,3.44
"Ideal","VVS1",60,5.34,3.29
"Ideal","VS1",55,5.72,3.54
"Ideal","VVS2",53,5.51,3.43
"Premium","SI2",56,6.01,3.7
"Very Good","SI1",59,6,3.53
"Very Good","SI2",63,6.26,3.74
"Ideal","SI2",54,5.96,3.7
"Ideal","VS2",55,5.74,3.58
"Good","SI2",59,6.07,3.86
"Good","VS2",56,5.75,3.67
"Ideal","VS2",56,5.83,3.57
"Very Good","SI1",58,5.89,3.57
"Ideal","VVS1",56,5.72,3.59
"Ideal","SI1",54,6.1,3.78
"Very Good","I1",58,6.39,4.02
"Ideal","SI1",56,5.96,3.66
"Ideal","SI1",56,6.24,3.9
"Ideal","VS1",56,5.79,3.6
"Ideal","VS2",56,5.79,3.61
"Ideal","SI1",55,5.81,3.6
"Premium","I1",60,6.46,3.96
"Fair","VS2",57.2,5.83,3.81
"Ideal","SI2",58,5.97,3.68
"Ideal","VVS1",57,5.78,3.49
"Premium","VS1",56,6.23,3.87
"Very Good","SI1",58,6.2,3.85
"Premium","VS2",58,4.36,2.73
"Very Good","VS1",55,4.4,2.78
"Premium","VS2",59,4.41,2.69
"Very Good","SI1",58,4.36,2.72
"Premium","VS2",58,4.38,2.67
"Ideal","SI1",55,4.42,2.74
"Ideal","VS2",55,4.41,2.73
"Ideal","VS2",55,4.37,2.7
"Ideal","VS2",54,5.86,3.59
"Ideal","VS2",56,5.8,3.54
"Good","I1",62,7.56,4.29
"Ideal","VVS1",58,5.77,3.52
"Fair","SI1",57,6.12,3.95
"Ideal","VVS1",58,5.49,3.37
"Very Good","VS2",58,5.68,3.62
"Very Good","SI1",56,5.67,3.6
"Premium","VS1",60,5.75,3.49
"Ideal","VS1",56,5.75,3.51
"Fair","SI2",68,6.37,3.65
"Very Good","VS1",56,6.11,3.85
"Ideal","SI2",57,6.06,3.79
"Ideal","SI1",56,5.8,3.58
"Premium","SI1",60,6.18,3.87
"Ideal","VVS2",55,5.71,3.53
"Ideal","VS1",55,5.71,3.56
"Ideal","SI1",57,5.97,3.73
"Premium","VS2",59,6.01,3.6
"Good","VVS2",61,6.42,3.67
"Premium","VVS1",57.5,5.25,3.23
"Ideal","SI1",56,5.96,3.69
"Ideal","VVS2",57,5.42,3.34
"Ideal","VVS1",56,5.13,3.17
"Ideal","VS2",59,5.74,3.58
"Premium","VS2",59,5.74,3.49
"Very Good","I1",63,6.52,3.93
"Very Good","VS1",57,5.73,3.56
"Ideal","VS2",59,5.72,3.47
"Ideal","VS2",55,5.92,3.6
"Very Good","VVS1",62,5.67,3.56
"Very Good","VVS2",60,5.7,3.46
"Fair","IF",62,5.87,3.43
"Fair","SI2",54,6.1,3.93
"Premium","VS2",57,5.82,3.52
"Ideal","VVS1",57,5.38,3.27
"Very Good","SI1",55,5.95,3.75
"Very Good","VVS1",59,5.63,3.52
"Very Good","VS1",62,5.89,3.65
"Ideal","SI2",54,5.95,3.7
"Premium","SI2",62,6.06,3.78
"Fair","SI2",56,6.08,3.94
"Premium","VS1",58,5.96,3.54
"Ideal","VS1",54,5.74,3.56
"Ideal","SI1",57,5.95,3.64
"Fair","VS2",60,6.62,3.7
"Very Good","VS2",58,5.73,3.5
"Very Good","SI2",63,6.35,3.99
"Premium","VS2",59,5.85,3.64
"Ideal","SI1",57,5.91,3.63
"Very Good","VS1",58,5.66,3.6
"Very Good","SI1",58,6.22,3.78
"Very Good","VS2",58,5.67,3.59
"Premium","IF",60,6.03,3.68
"Premium","SI2",55,6.18,3.77
"Premium","SI1",55,6.06,3.59
"Ideal","VVS1",56,5.21,3.17
"Very Good","VS1",57,5.7,3.56
"Ideal","VS1",55,5.73,3.54
"Good","SI1",60,6.16,3.9
"Good","VS1",55,5.8,3.67
"Ideal","SI1",57,5.96,3.75
"Very Good","I1",61,6.48,4.04
"Ideal","SI2",57,6.59,3.98
"Very Good","VS2",57,5.87,3.72
"Ideal","VS2",57,5.73,3.57
"Very Good","VS2",55,6.09,3.87
"Ideal","VVS2",56,5.68,3.54
"Premium","VS1",58,5.73,3.48
"Very Good","VS1",58,5.82,3.64
"Very Good","SI1",61,6.12,3.84
"Ideal","VS2",56,5.69,3.58
"Good","VS2",61,6.1,3.87
"Very Good","SI2",59,6.08,3.84
"Fair","VS2",60,6.03,3.93
"Ideal","VS2",57,4.37,2.68
"Very Good","SI2",59,4.58,2.88
"Fair","VS1",55,4.09,2.51
"Ideal","SI1",56,4.46,2.72
"Good","VVS2",56,4.06,2.59
"Very Good","VVS2",61,4.08,2.53
"Ideal","SI1",55,4.46,2.8
"Premium","VS2",61,6.12,3.81
"Ideal","VVS1",57,5.65,3.55
"Ideal","VS2",56,5.83,3.66
"Ideal","VVS1",56,5.56,3.45
"Ideal","VS2",56,5.89,3.63
"Good","VS2",58,5.88,3.72
"Premium","VVS2",58,5.78,3.55
"Premium","VS2",60,6.3,3.9
"Ideal","SI2",57,6,3.66
"Premium","SI1",58,6.21,3.83
"Ideal","VS2",56,5.68,3.52
"Good","SI2",56,6.11,3.79
"Ideal","VS1",55,5.86,3.58
"Ideal","VS2",56,5.76,3.58
"Ideal","VS2",55,5.89,3.6
"Very Good","SI1",58,5.86,3.67
"Very Good","SI1",59,5.93,3.52
"Ideal","VS1",55,5.73,3.53
"Ideal","SI1",57,5.75,3.51
"Very Good","VS1",57,5.68,3.61
"Premium","VVS1",59,5.67,3.51
"Ideal","SI1",54,6.07,3.75
"Fair","SI2",55,6.26,4.07
"Premium","SI1",59,5.96,3.7
"Good","SI2",57,6.11,3.88
"Good","VVS2",54,5.6,3.56
"Ideal","SI1",55,5.87,3.66
"Good","SI2",55,6.34,3.72
"Premium","SI1",59,5.95,3.63
